Topic,Count,Name,Representation,Representative_Docs
14,65,spel_game_schaken_computer,"['spel', 'game', 'schaken', 'computer', 'go', 'spelers', 'spelen', 'speler', 'spellen', 'alphago']","['computerbrein eenzame hoogte sensatie begin veroverde computer laatste bastion denksport eeuwenoude go eenvoud complex spel computer hoog gegrepen leek alphago computerprogramma deepmind maakte kneepj', 'computer bluft uitstekend pokeren computer echt slimmer men schaken dammen go computerprogramma poker gewonnen beste menselijke spelers progamma libratus gebouwd carnegie mellon university verdiende m', 'strijdt computer lee ziet taak bordspel mooiere manier lee wereldkampioen bordspel go speelt vandaag seoul eerste wedstrijd vijf computer alphago machine bordspel hoog niveau spelen ontwikkeld google ']"
15,64,fonds_geld_kabinet_economische,"['fonds', 'geld', 'kabinet', 'economische', 'hoekstra', 'euro', 'wiebes', 'economie', 'groeifonds', 'crisis']","['geld gaat vooral openbaar vervoer nationaal groeifonds kabinet gaat amsterdam schiphol doortrekken miljard euro nationaal groeifonds wel genoemd jaar tien projecten aangewezen saman miljard euro krijg', 'economen zien fonds wel zitten economische tegenspoed lijkt land sprake betekent vooruitzichten rooskleurig internationale politieke onzekerheden zorgen twijfels economische groei lange termijn dalend', 'wopkewiebesfonds nergens nodig noden hoog ongelijkheid kansen neemt toe eerste gelekte nieuws fonds loog zomer kabinet plannen miljardeninjectie economie via investeringsfonds wel miljard goed gratis ']"
16,63,banen_ai_werknemers_arbeidsmarkt,"['banen', 'ai', 'werknemers', 'arbeidsmarkt', 'werk', 'wework', 'mensen', 'nieuwe', 'bedrijven', 'gaan']","['diploma tijd leven lang leren lll noodzakelijk wereld waarin grote veranderingen gaande aanstaande baan werkgever leven vrijwel bestaat steed werkenden kiezen ondernemerschap ontwikkelingen big data k', 'steed minder japanners probleem record land wilde breken premier fumio kishida kondigde eerder investeren opkrikken geboortecijfer nieuwe visumregelingen voeren buitenlandse werknemers trekken gebruik', 'technologie kost miljoenen banen world economic forum vroeg personeelsmanagers visie arbeidsmarkt komende vijf jaar vraag kind later kleintjes basisschool gaan komt twee derde banen terecht helemaal b']"
17,62,valley_silicon_san_francisco,"['valley', 'silicon', 'san', 'francisco', 'stanford', 'bedrijven', 'facebook', 'waar', 'bedrijf', 'techbedrijven']","['san francisco weer techmagneet dankzij ai golf ontslagen nieuw enthousiasme kunstmatige intelligentie golf ontslagen nieuw enthousiasme kunstmatige intelligentie silicon valley techie san francisco dr', 'silicon valley shopt weer nederland hippo sluit amerikaanse belofte rob goossens amsterdam victoria s secret nationale politie bayern münchen klant bedrijf gaat hippo rest wereld veroveren bedrijf ove', 'silicon valley mannenprobleem machobolwerkpest vrouwen hoofdkantoor uploadvr bedrijf san francisco gespecialiseerd virtual reality bestaat kamer bed waar mannelijke werknemers seks tijdens pauzes room']"
18,58,microsoft_openai_nadella_alphabet,"['microsoft', 'openai', 'nadella', 'alphabet', 'mrd', 'apple', 'dollar', 'bedrijf', 'miljard', 'google']","['microsoft haalt apple werelds waardevolste beursbedrijf microsoft neemt eerste plaats lijst waardevolle beursgenoteerde bedrijven eerst donderdag even geval gebeurde beide keren nam apple eerste plaat', 'slimme bril microsoft wijst militairen weg microsoft gaat amerikaanse leger slimme brillen leveren militairen tijdens missie helpen weg vinden afstand kameraad vijand meten nachts volgens amerikaanse ', 'microsoft steekt miljarden bedrijf chatgpt data softwareconcern microsoft investeert komende jaren miljard dollar bedrijf achter spraakmakende programma chatgpt openai geld technische mogelijkheden mi']"
19,56,we_valk_wel_jaar,"['we', 'valk', 'wel', 'jaar', 'maria', 'familie', 'heel', 'goed', 'dhl', 'nederland']","['toptransfer verzekeringswereld smeuïge transfer verzekeringswereld topman lard friese verzekeraar nn group stapt concurrent aegon friese gaat precies rol vervullen sind gedurende periode functie buite', 'tip matthijs dicke laatste havenbaron jacques schoufour maatschappelijk betrokken ondernemer rotterdam boom blz jacques schoufour hekel titel kleefde oorlog sfeer ruggen havenarbeiders verrijkende gro', 'nokiaatje helpt ontstressen levenslessen vinod subramaniam kijk verder eigen kring achttiende vanuit new delhi v vertrok studeren nam saman klitten soortgenoten neiging wel natuurlijk lekker veilige b']"
20,56,asml_chip_kwartaal_omzet,"['asml', 'chip', 'kwartaal', 'omzet', 'wennink', 'mrd', 'tsmc', 'vraag', 'machine', 'bedrijf']","['chipmachinemaker asml overtreft eigen verwachting chipmachinemaker asml derde kwartaal omzet winst verder verhoogd technologiebedrijven blijven tijdens coronacrisis goed mede dankzij toegenomen thuisw', 'supermachines asml veroveren mondiale chipmarkt paradepaardje asml supermachine waarmee bedrijven chip maken kost miljoen euro vijf vrachtvliegtuigen nodig vervoeren kwartaal liefst besteld asml goed ', 'coronacrisis chipfabrikant asml nadelen even denkt vraag even antwoord peter wennink bestuursvoorzitter asml achteraf gezien we nadelen coronacrisis gehad zegt vanuit hoofdkantoor chipmachinefabrikant']"
21,54,china_chinese_overheid_bedrijven,"['china', 'chinese', 'overheid', 'bedrijven', 'chinezen', 'peking', 'amerikaanse', 'tiktok', 'data', 'huawei']","['china komt strenge wetgeving deepfakes reguleren z jaar geleden verspreidde afbeelding razendsnel china chinese president xi jinping wereldberoemde gele beer winnie poeh volgens sommigen verrassend le', 'bbc ontdekt meerdere chinese spionageballonnen boven aziatische landen alleen boven amerikaanse luchtruim vloog spionageballon februari betrekkingen tussen verenigde staten china dieptepunt bracht bov', 'v china digitale oorlog rob wijk vierde industriële revolutie voordat goed wel start gegaan inmiddels digitale koude oorlog geleid tussen verenigde staten china handelsoorlog trump aanval huawei belan']"
22,53,muziek_piano_universal_artiesten,"['muziek', 'piano', 'universal', 'artiesten', 'tiktok', 'liedje', 'beethoven', 'nummer', 'spotify', 'stem']","['iedereen hit schrijven dankzij ai b illlboard invloedrijke amerikaanse muziekweekblad gaf onlangs podium startup kunstmatige intelligentie ai gebaseerde software ontwikkelen waarmee computer commando ', 'beethoven tiende eindelijk ludwig beethoven stierf kort première symfonie nr impact meesterwerk groot decennium nauwelijks nieuwe symfonieën verschenen tiende durfde bijna grote componist echter tiend', 'gewoon nieuwe vorm expressie auteursrecht onlangs ging sociale medium nummer heart on my sleeve viraal kunstmatige intelligentie gegenereerd liedje waarin stemmen drake the weeknd nagebootst snel numm']"
23,51,ai_nederland_intelligentie_bedrijven,"['ai', 'nederland', 'intelligentie', 'bedrijven', 'europa', 'investeren', 'kunstmatige', 'universiteiten', 'rijke', 'kabinet']","['europa framing franse president macron sterk geeft interview opkomst robotica kunstmatige intelligentie framet standpunt kunstmatige intelligentie zegt macron helaas banen vernietigen gelukkig nieuwe ', 'miljarden investeren ai industriekoepel fme start platform kunstmatige intelligentie wouter bergen amsterdam nederland miljarden moeten investeren koploperspositie innemen gebied kunstmatige intellige', 'plusone nieuwe eigen bodem techinvesteerder prosus markt eigen software techinvesteerder prosus markt eigen software vian schouten amsterdam chatbots chatgpt bard grote concurrent heet plusone vooral ']"
24,49,medium_nepnieuws_verkiezingen_desinformatie,"['medium', 'nepnieuws', 'verkiezingen', 'desinformatie', 'empathie', 'trump', 'sociale', 'facebook', 'hamas', 'deepfakes']","['president biden risico ai beteugelen presidentsverkiezingen verschiet zorg nepinformatie verenigde staten hoogst actueel vaak kunstmatige intelligentie gebruikt mensen bedriegen zei president joe bide', 'typ palestinian ai toont vuurwapens terwijl bommen raketten regent palestijnen gaza kwam absurde kop sociale medium foto pikzwarte tientallen meter hoge rookwolk gaza opstijgt stond vn ingehuurd crisi', 'oorlogsverslag syrië mist urgentie kracht burgerjournalistiek regie lina season revolution we herinnerd vreselijke oorlog syrië film keert terug begin burgerprotesten hard werden neergeslagen snel spr']"
25,49,kunst_nachtwacht_museum_rembrandt,"['kunst', 'nachtwacht', 'museum', 'rembrandt', 'schilderij', 'werk', 'kunstenaar', 'rijksmuseum', 'kunstenaars', 'zien']","['wegdromen ideale fantasiewereld werken intrigerend hebt meteen zin raken alsof rechtstreeks wes the grand budapest hotel komt sprookjesachtige beelden kunstenares noëlle dijk instagram zet noellevandi', 'computerkunst kolkt bubbelt pulseert expositie recensie museum kijken mensen gemiddeld tussen seconden kunstwerk wijzen verschillende onderzoeken rotterdamse kunsthal blijven bezoekers aanmerkelijk la', 'kunstenaars niks vrezen werk ai kunstmatige kunst rommelt columnistenland sind kunstmatig intelligente schrijver chatgpt geboren anderen sylvia witteman nelleke noordervliet vroegen af ambacht bestaan']"
26,48,china_asml_chip_geavanceerde,"['china', 'asml', 'chip', 'geavanceerde', 'chinese', 'amerikaanse', 'export', 'chipmachines', 'nanometer', 'machine']","['china nijdig exportverbod geavanceerde allernieuwste machine asml jargon extreem ultraviolet euv mochten china gaat gelden minder moderne machine gaat zogeheten deep ultra violet geavanceerde versie w', 'huawei weinig last sancties v chip hardware najaar gelanceerd wouter bergen berlijn huawei denkt voorlopig weinig last amerikaanse sancties nieuwe chip hardware najaar lanceert zei walter ji hoofd con', 'vragen waarom koers asml oploopt asml blijkt tussen hamer aambeeld beland handelsruzie tussen v china verluidt president trump premier rutte aangedrongen exportvergunning geven chipmachine gebruikmaak']"
27,48,we_mensheid_aarde_rees,"['we', 'mensheid', 'aarde', 'rees', 'toekomst', 'ai', 'men', 'risico', 'mensen', 'leven']","['elon musk verdooft klimaatgeweten column grap weleens technologie net feyenoord wel fan optimist waar misplaatst vertrouwen feyenoord vrij onschuldig blind geloof technologie vaak gevaarlijk geloof ne', 'lezersreacties mag terugloop onze insectenrijkdom oktober insecten schokkend betreurenswaardig alleen vanwege bestuiving onze gewassen voedsel laten we eindelijk ophouden men centraal stellen eenzijdi', 'we struikelen alle doemscenario einde wereld nooit dichtbij stelt wetenschapsjournalist steven stroeykens meteen enige zeker weet wanneer mensheid aarde gedaan daarover we alleen speculeren valt uitst']"
28,45,europese_ai_regels_parlement,"['europese', 'ai', 'regels', 'parlement', 'act', 'europees', 'wet', 'gezichtsherkenning', 'commissie', 'eu']","['europa werkt pauzeknop kunstmatige intelligentie bedreigingen europa bereidt internationaal verdrag overheden pauzeknop biedt kunstmatige intelligentie ai bedreiging vormt democratische waarden mensen', 'chatgpt verboden ambtenaren verbod tiktok dreigt rijksambtenaren verbod gebruik kunstmatige intelligentie staatssecretaris alexandra huffelen concreet plan daarvoor klaarliggen aldus software chatgpt ', 'europa slimme robot zetten computer nooit lot men bepalen vindt europees parlement straatsburg zette donderdag eerste stap weg wetgeving artificiële intelligentie ai banden legt bijvoorbeeld verboden ']"
29,45,digitale_digitalisering_overheid_burger,"['digitale', 'digitalisering', 'overheid', 'burger', 'we', 'data', 'onze', 'stad', 'technologie', 'politieke']","['digitale agenda verdient ambitie eerst nederland kabinet bewindspersoon digitale zaken belangrijke stap lang liet onze overheid samenhangt big tech bedrijven google facebook alleen digitaal beleid éch', 'digitalisering graag verkiezingsthema kort vorige tweede kamerverkiezingen zei interview krant willen volgende kamerverkiezingen misschien vier jaar digitalisering één onderwerpen waar lijsttrekkersde', 'allegaartje ideeën kansen bedreigingen nieuwe technologie kunstmatige intelligentie ai zomaar technologie systeemtechnologie samenleving fundamenteel veranderen stelt wetenschappelijke raad regeringsb']"
30,45,facebook_zuckerberg_gebruikers_berichten,"['facebook', 'zuckerberg', 'gebruikers', 'berichten', 'platform', 'bedrijf', 'mensen', 'erik', 'nepnieuws', 'charon']","['facebook moeten buigen europese regels digitaal verkeer streven steviger vuist maken wereldtoneel nieuwe europese commissie grootste spelers toneel ter verantwoording geroepen mark zuckerberg amerikaa', 'ten strijde nepnieuws klimaatfabels hol leeuw desinformatie interview sander linden moest wel even nadenken facebook benaderde vraag bedrijf helpen grote problemen hoogleraar gedragspsychologie britse', 'nieuwtjes facebook alfred antwoordt enthousiast facebookgebruiker we jaar leuke dingen verwachten zanten breda facebook zit stil nieuwsoverzicht startpagina krijgt minder content gebruikers blijken st']"
31,44,onderwijs_studenten_universiteiten_universiteit,"['onderwijs', 'studenten', 'universiteiten', 'universiteit', 'school', 'scholen', 'studie', 'technische', 'hoger', 'student']","['denkfouten zoals volt zien we vaker politici eerste nieuwe collega alweer vertrokken raakten schooljaar overwerkt verkozen paar weken baan buiten onderwijs we probleem nieuwe leraren fase nauwelijks v', 'school diploma ramp echtgenoot diploma tijdgeest mei vanwege verhuizing bezocht verschillende middelbare scholen nergens haalde diploma we avonds kinderen pasten hielp franse woordjes onthouden tijden', 'grote kans baan technisch profiel geliefd juliaan geeft bijles scheikunde veruit meeste vraag scholier volgt natuur fons vitae lyceum amsterdam eitje menig medeleerling worsteling daarom exacte vakken']"
32,40,nvidia_chip_huang_intel,"['nvidia', 'chip', 'huang', 'intel', 'bedrijf', 'grafische', 'mrd', 'jensen', 'aandeel', 'omzet']","['chipfabrikant breekt record beurs voorzichtig klopt jensen huang oprichter amerikaanse chipmaker nvidia deur meest exclusieve clubje ondernemingen ter wereld bedrijven beurswaarde één biljoen dollar v', 'nvidia waard beurs chip chipconcern nvidia donderdag miljard dollar waard geworden beurs new york beleggers reageren enthousiast resultaten belangrijkste speler ter wereld gebied chip gebruikt kunstma', 'koerssprong nvidia stuwt wall street chipsector beurs nvidia zette donderdag sterke opmars jaar voort aandelenbeurzen new york aandeel maakte koerssprong procent tikte nieuw recordniveau amerikaanse c']"
33,40,coronavirus_china_virus_chinese,"['coronavirus', 'china', 'virus', 'chinese', 'ggd', 'corona', 'palantir', 'ademtest', 'pandemie', 'antisemitische']","['gebruik slimme techniek corona coronabestrijding naarmate mensen gevaccineerd samenleving verder open technologie zoals coronapaspoort apps daarbij helpen medisch vlak paar interessante toepassingen z', 'snel geld verdienen kleine pakkans digitale criminaliteit enorme vlucht genomen digitale criminaliteit enorme vlucht genomen wereld digitale criminaliteit afgelopen jaren enorme vlucht genomen coronac', 'waarom coronacrash beursexperts verraste bijna niemand durft consensus af wijken theo besteman johan wiering amsterdam coronacrisis vermogens miljoenen beleggers gedecimeerd waarom coronavirus beurscr']"
34,38,foto_gezichtsherkenning_gezichten_clearview,"['foto', 'gezichtsherkenning', 'gezichten', 'clearview', 'camera', 'gezicht', 'technologie', 'software', 'politie', 'google']","['echt nep ai verschil zien levensecht bekijk bovenstaande foto ziet welk gezicht echt welke afbeelding persoon staat gemaakt ai antwoord vinden artikel vraag goed beantwoord waarschijnlijk gok alleen z', 'onrust wouter bergen amsterdam amerikaanse maker omstreden app gezichtsherkenning clearview ai technologie nederland verkopen meldt amerikaanse nieuwssite buzzfeed basis overheidsdocumenten app gezich', 'systeem lek mandje proef digitale gezichtsherkenning paul eldering yteke jong schiphol digitale gezichtsherkenning nieuwe methode luchtreizigers sneller controles schiphol krijgen laat vaak steken val']"
35,37,winkel_zelfscankassa_klanten_winkeldiefstal,"['winkel', 'zelfscankassa', 'klanten', 'winkeldiefstal', 'winkels', 'diefstal', 'supermarkten', 'supermarkt', 'jumbo', 'boodschappen']","['beloning klant supermarkt supermarktketen jumbo nieuwe maatregelen aangekondigd winkeldiefstal zelfscankassa meest origineel zogeheten vanaf half maart winkels verschijnt klanten pech uitgebreide stee', 'makkelijk boodschappen digitale supermarkt succesvol zegt automaat deur volledig digitale supermarkt albert heijn nadat betaalpas ertegenaan gehouden boodschappen beginnen sterker contactloze betaling', 'klantvragen slimmer beantwoorden doorbreker alexander wijninga watermelon messenger gabi ouwerkerk utrecht juridische druk whatsapp moesten alexander wijninga charl haas vorig jaar faillissement aanvr']"
36,34,acteurs_staking_schrijvers_hollywood,"['acteurs', 'staking', 'schrijvers', 'hollywood', 'streamingdiensten', 'wga', 'studio', 'series', 'film', 'vakbond']","['acteurs scenaristen gaan set straat laten keus lijken vermenigvuldigen hete ochtendzon leden vakbond acteurs presentatoren stemmen film televisie afgelopen week liepen maximaal twintig scenaristen ron', 'staking scenarioschrijvers brengt hollywood stilstand compensatie scenaristen blijft ver achter winst studio zenders streamingdiensten maken stelt schrijversvakbond wga filmgebied geproduceerd ooit al', 'staking dagen schrijvend hollywood weer slag klassiek kunstenaars gevestigde orde werkende klasse ultrarijken goliath filmstudio streamingdiensten ging uiteindelijk liggen david leden scenaristenvakbo']"
37,33,samsung_apple_smartphone_telefoons,"['samsung', 'apple', 'smartphone', 'telefoons', 'huawei', 'telefoon', 'lee', 'iphone', 'galaxy', 'nieuwe']","['samsung duikelt apple achterna vorige week liet techbedrijf apple beleggers flink schrikken winstwaarschuwing gisteren verraste concurrent samsung markt tegenvaller vierde kwartaal zagen winst procent', 'samsung plakt maantje beeld geluk zit moment vlak gedachte foto nemen uitspraak schrijver tara june winch zong zaterdagavond hoofd volgde discussie online losgebarsten zogenaamde space beschikbaar duu', 'chip robotica deal moderna samsung barst ambities samsung vooral bekend smartphones televisies halfgeleiders grote plannen komende drie jaar conglomeraat ongeveer miljard euro investeren kapitale bedr']"
38,33,apple_iphone_cook_kinderporno,"['apple', 'iphone', 'cook', 'kinderporno', 'google', 'auto', 'iphones', 'amazon', 'jaar', 'nieuwe']","['apple verdachte foto onze iphones gaan scannen privacy apple stond lang bekend bastion privacy google facebook gluurden misschien mee onze berichtjes apple boodschap boodschappen we verstuurden gebeur', 'polepositie microsoft waarderace apple duel techreuzen v titel grootste beursbedrijf duel techreuzen v titel grootste beursbedrijf mark garrelts amsterdam tweestrijd titel grootste beursbedrijf ter we', 'apple vuur controle foto techreus pakt verspreiding kinderporno techreus pakt verspreiding kinderporno theo besteman amsterdam apple presenteert najaar nieuwste iphone krijgt betere camera opslag groo']"
